Country,Localite,Category,Value,Date
Guinea,"Guekedou, Macenta, Nzerekore and Kissidougou",Cases,86,3/24/14
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/25/14
Guinea,"( Guekedou, Macenta and Kissidougou",Cases,86,3/26/14
Guinea,"( Guekedou, Macenta and Kissidougou)",Cases,103,3/27/14
Guinea,National,Cases,122,3/31/14
Guinea,National,Cases,127,4/1/14
Guinea,Conakry,Cases,18,4/4/14
Guinea,Dabola and Djingaraye,Cases,4,4/4/14
Guinea,Gueckedou,Cases,85,4/4/14
Guinea,Kissidougou,Cases,9,4/4/14
Guinea,Macenta,Cases,27,4/4/14
Guinea,National,Cases,143,4/4/14
Guinea,Conakry,Cases,20,4/7/14
Guinea,Dabola ,Cases,4,4/7/14
Guinea,Dinguiraye ,Cases,1,4/7/14
Guinea,Gueckedou,Cases,90,4/7/14
Guinea,Kissidougou,Cases,9,4/7/14
Guinea,Macenta,Cases,27,4/7/14
Guinea,National,Cases,151,4/7/14
Liberia,National,Cases,21,4/8/14
Liberia,National,Cases,22,4/9/14
Guinea,National,Cases,157,4/10/14
Liberia,Bong County,Cases,4,4/10/14
Liberia,Grand Cape Mount,Cases,1,4/10/14
Liberia,Lofa County,Cases,10,4/10/14
Liberia,Margibi County,Cases,6,4/10/14
Liberia,Montserrado County,Cases,1,4/10/14
Liberia,National,Cases,25,4/10/14
Liberia,Nimba County,Cases,3,4/10/14
Guinea,Conakry,Cases,31,4/11/14
Guinea,Dabola ,Cases,5,4/11/14
Guinea,Dinguiraye ,Cases,1,4/11/14
Guinea,Gueckedou,Cases,95,4/11/14
Guinea,Kissidougou,Cases,6,4/11/14
Guinea,Macenta,Cases,21,4/11/14
Guinea,National,Cases,159,4/11/14
Liberia,Bong County,Cases,5,4/13/14
Liberia,Grand Cape Mount,Cases,1,4/13/14
Liberia,Lofa County,Cases,10,4/13/14
Liberia,Margibi County,Cases,6,4/13/14
Liberia,Montserrado County,Cases,1,4/13/14
Liberia,National,Cases,26,4/13/14
Liberia,Nimba County,Cases,3,4/13/14
Guinea,National,Cases,168,4/14/14
Guinea,Conakry,Cases,47,4/16/14
Guinea,Dabola ,Cases,4,4/16/14
Guinea,Dinguiraye ,Cases,1,4/16/14
Guinea,Gueckedou,Cases,117,4/16/14
Guinea,Kissidougou,Cases,6,4/16/14
Guinea,Macenta,Cases,22,4/16/14
Guinea,National,Cases,197,4/16/14
Liberia,Bong County,Cases,5,4/16/14
Liberia,Grand Cape Mount,Cases,1,4/16/14
Liberia,Lofa County,Cases,10,4/16/14
Liberia,Margibi County,Cases,6,4/16/14
Liberia,Montserrado County,Cases,1,4/16/14
Liberia,National,Cases,27,4/16/14
Liberia,Nimba County,Cases,4,4/16/14
Guinea,Conakry,Cases,50,4/17/14
Guinea,Dabola ,Cases,4,4/17/14
Guinea,Dinguiraye ,Cases,1,4/17/14
Guinea,Gueckedou,Cases,120,4/17/14
Guinea,Kissidougou,Cases,6,4/17/14
Guinea,Macenta,Cases,22,4/17/14
Guinea,National,Cases,203,4/17/14
Liberia,National,Cases,27,4/18/14
Guinea,Conakry,Cases,53,4/20/14
Guinea,Dabola ,Cases,4,4/20/14
Guinea,Dinguiraye ,Cases,1,4/20/14
Guinea,Gueckedou,Cases,122,4/20/14
Guinea,Kissidougou,Cases,6,4/20/14
Guinea,Macenta,Cases,22,4/20/14
Guinea,National,Cases,208,4/20/14
Liberia,National,Cases,27,4/21/14
Guinea,Conakry,Cases,58,4/23/14
Guinea,Dabola ,Cases,4,4/23/14
Guinea,Dinguiraye ,Cases,1,4/23/14
Guinea,Gueckedou,Cases,127,4/23/14
Guinea,Kissidougou,Cases,6,4/23/14
Guinea,Macenta,Cases,22,4/23/14
Guinea,National,Cases,218,4/23/14
Liberia,Bong County,Cases,6,4/23/14
Liberia,Grand Cape Mount,Cases,1,4/23/14
Liberia,Grand Gedeh,Cases,3,4/23/14
Liberia,Lofa County,Cases,11,4/23/14
Liberia,Margibi County,Cases,4,4/23/14
Liberia,Montserrado County,Cases,3,4/23/14
Liberia,National,Cases,35,4/23/14
Liberia,Nimba County,Cases,7,4/23/14
Liberia,National,Cases,35,4/24/14
Guinea,Conakry,Cases,60,4/26/14
Guinea,Dabola ,Cases,4,4/26/14
Guinea,Dinguiraye ,Cases,1,4/26/14
Guinea,Gueckedou,Cases,131,4/26/14
Guinea,Kissidougou,Cases,6,4/26/14
Guinea,Macenta,Cases,22,4/26/14
Guinea,National,Cases,224,4/26/14
Guinea,Conakry,Cases,53,5/1/14
Guinea,Dabola ,Cases,4,5/1/14
Guinea,Dinguiraye ,Cases,1,5/1/14
Guinea,Gueckedou,Cases,140,5/1/14
Guinea,Kissidougou,Cases,6,5/1/14
Guinea,Macenta,Cases,22,5/1/14
Guinea,National,Cases,226,5/1/14
Liberia,Bong County,Cases,1,5/2/14
Liberia,Lofa County,Cases,7,5/2/14
Liberia,Margibi County,Cases,2,5/2/14
Liberia,Montserrado County,Cases,1,5/2/14
Liberia,National,Cases,13,5/2/14
Liberia,Nimba County,Cases,2,5/2/14
Guinea,Conakry,Cases,53,5/3/14
Guinea,Dabola ,Cases,4,5/3/14
Guinea,Dinguiraye ,Cases,1,5/3/14
Guinea,Gueckedou,Cases,145,5/3/14
Guinea,Kissidougou,Cases,6,5/3/14
Guinea,Macenta,Cases,22,5/3/14
Guinea,National,Cases,231,5/3/14
Guinea,Conakry,Cases,53,5/5/14
Guinea,Dabola ,Cases,4,5/5/14
Guinea,Dinguiraye ,Cases,1,5/5/14
Guinea,Gueckedou,Cases,149,5/5/14
Guinea,Kissidougou,Cases,6,5/5/14
Guinea,Macenta,Cases,22,5/5/14
Guinea,National,Cases,235,5/5/14
Guinea,Conakry,Cases,53,5/7/14
Guinea,Dabola ,Cases,4,5/7/14
Guinea,Dinguiraye ,Cases,1,5/7/14
Guinea,Gueckedou,Cases,151,5/7/14
Guinea,Kissidougou,Cases,6,5/7/14
Guinea,Macenta,Cases,22,5/7/14
Guinea,National,Cases,236,5/7/14
Liberia,Bong County,Cases,1,5/9/14
Liberia,Lofa County,Cases,7,5/9/14
Liberia,Margibi County,Cases,2,5/9/14
Liberia,National,Cases,12,5/9/14
Liberia,Nimba County,Cases,2,5/9/14
Guinea,Conakry,Cases,50,5/10/14
Guinea,Dabola ,Cases,4,5/10/14
Guinea,Dinguiraye ,Cases,1,5/10/14
Guinea,Gueckedou,Cases,149,5/10/14
Guinea,Kissidougou,Cases,6,5/10/14
Guinea,Macenta,Cases,23,5/10/14
Guinea,National,Cases,233,5/10/14
Guinea,Conakry,Cases,50,5/12/14
Guinea,Dabola ,Cases,4,5/12/14
Guinea,Dinguiraye ,Cases,1,5/12/14
Guinea,Gueckedou,Cases,163,5/12/14
Guinea,Kissidougou,Cases,8,5/12/14
Guinea,Macenta,Cases,22,5/12/14
Guinea,National,Cases,248,5/12/14
Guinea,Conakry,Cases,50,5/23/14
Guinea,Dabola ,Cases,4,5/23/14
Guinea,Dinguiraye ,Cases,1,5/23/14
Guinea,Gueckedou,Cases,170,5/23/14
Guinea,Kissidougou,Cases,8,5/23/14
Guinea,Macenta,Cases,22,5/23/14
Guinea,National,Cases,258,5/23/14
Guinea,Telimele,Cases,3,5/23/14
Sierra Leone,Kailahun,Cases,16,5/26/14
Guinea,Boffa,Cases,4,5/28/14
Guinea,Conakry,Cases,53,5/28/14
Guinea,Dabola ,Cases,4,5/28/14
Guinea,Dinguiraye ,Cases,1,5/28/14
Guinea,Gueckedou,Cases,179,5/28/14
Guinea,Kissidougou,Cases,7,5/28/14
Guinea,Macenta,Cases,40,5/28/14
Guinea,National,Cases,291,5/28/14
